Username,Comment,Cleaning
@darlekgondrong7naga144,Oke mantap 02 ok,oke mantap ok
@user-xz7sq5jk2c,Something wrong apa <br>Tidur aja lu di TPS <br>ngomong curang mana buktinya,something wrong apa tidur aja lu di tps ngomong curang mana buktinya
@ferysetiawan4078,Di tps tempatku:<br>01 : 10 suara<br>02 :136<br>03 : 65<br>Sisanya rusak dan golput,di tps tempatku suara02 65sisanya rusak dan golput
@user-tb7vz6lq5q,❤02,
@sukarnisukarni3526,Semoga yang dipilih masyarakat jadilah Persiden yang Amanah Yang tidak jadi harus nglegono kekalahanya Persiden yang milih Rakyat bukan Partai,semoga yang dipilih masyarakat jadilah persiden yang amanah yang tidak jadi harus nglegono kekalahanya persiden yang milih rakyat bukan partai
@munarohcanel5964,"0,1 Dan 0,3 semoga legowo Dan mengucap Kan selamat untuk pak prabowo Dan Mas gibran",dan semoga legowo dan mengucap kan selamat untuk pak prabowo dan mas gibran
@AyahSafa,"klo yg mengkritik banyak, tpi yg tdk mengkriti jauh lbih banyak.",klo yg mengkritik banyak tpi yg tdk mengkriti jauh lbih banyak
@cuan180,Di lapangan lapisan tidak ada masalah .kok yg kalah mintak menang,di lapangan lapisan tidak ada masalah kok yg kalah mintak menang
@rofflyedwin2423,"woyyyy bicara hasil dong, koq mundur lg dgn hasil putusan MK. knp nda usaha keras digagalin spy 02 tidak ikut krn katanya melanggar. dan skrg udah pemilu udah ada akan hasil koq bilang salah. ntar lg narasi film itu kan akan sbg alat maju ke MK. udah bisa diduga curang akan sbg alat terakhir.",woyyyy bicara hasil dong koq mundur lg dgn hasil putusan mk knp nda usaha keras digagalin spy tidak ikut krn katanya melanggar dan skrg udah pemilu udah ada akan hasil koq bilang salah ntar lg narasi film itu kan akan sbg alat maju ke mk udah bisa diduga curang akan sbg alat terakhir
@adapelangidibolamatamu4223,Orang yang sulit Terima kenyataan :<br>1.Orang Gila<br>2..Orang yang sedang jatuh cinta<br>3.ANUS-IMIN<br>4 GENJER-MPRUD<br>5. MEGAWATI<br>6.MARDANI NCONG,orang yang sulit terima kenyataan orang gila2 orang yang sedang jatuh cinta3 anusimin4 genjermprud5 megawati6 mardani ncong
@user-uw6kc2mo8p,Yg tensinya tinggi biasanya yg taruhan..takut jagoanya kalah😂😅😂,yg tensinya tinggi biasanya yg taruhan takut jagoanya kalah
@tintondwinanda,Hasil hitung lambatnya kapan?,hasil hitung lambatnya kapan
@endrahermawan5218,hitung manual per KPS nya aja  kt  tggu,hitung manual per kps nya aja kt tggu
@user-xz7sq5jk2c,Bilang curang <br>Berarti kasihan ya sama petugas pemilu di TPS <br>Curang mana buktinya <br>Emang udah seburuk apakah demokrasi di negara ini sampe segitunya dia menghakimi <br>Rakyat yg milih,bilang curang berarti kasihan ya sama petugas pemilu di tps curang mana buktinya emang udah seburuk apakah demokrasi di negara ini sampe segitunya dia menghakimi rakyat yg milih
@cuan180,Senang atau tidak itu kehendak rakyat jangan paksa rakyat untuk memenangkan yg udah kalah dalam kompetisi itu ada kalah ada menang,senang atau tidak itu kehendak rakyat jangan paksa rakyat untuk memenangkan yg udah kalah dalam kompetisi itu ada kalah ada menang
@tantrilistiana4184,"Jumlah TPS Pemilu 2024 sekitar 820 Ribu TPS.<br>Sedangkan jumlah TPS yg dijadikan Sampling dalam Quick Count adalah sekitar 2000-3000 TPS se-Indonesia.<br>Dan belum tentu Perolehan Suara di 2000-3000 TPS Sampling tsb mewakili Perolehan Suara di 820.000 TPS se-Indonesia.<br><br>Kawal Terus Proses Rekap Perhitungan Suara dari tingkat Desa, Kecamatan, Kabupaten, Provinsi sampai Nasional.<br>Jangan sampai hasil Real Count 820.000 TPS KPU di Grand Desain oleh Oknum tertentu, agar sama dengan hasil Quick Count dari 2000-3000 TPS Sampling.<br>Karena menurut Logika Logis bahwa 2-3 ribu TPS tidak mewakili 820 Ribu TPS yang perolehan suaranya pasti beda-beda di tiap TPS.",jumlah tps pemilu sekitar ribu tps sedangkan jumlah tps yg dijadikan sampling dalam quick count adalah sekitar tps seindonesia dan belum tentu perolehan suara di tps sampling tsb mewakili perolehan suara di tps seindonesia kawal terus proses rekap perhitungan suara dari tingkat desa kecamatan kabupaten provinsi sampai nasional jangan sampai hasil real count tps kpu di grand desain oleh oknum tertentu agar sama dengan hasil quick count dari tps sampling karena menurut logika logis bahwa ribu tps tidak mewakili ribu tps yang perolehan suaranya pasti bedabeda di tiap tps
@AyahSafa,"Klo jubir TKN bilang kecurangan surat suara yg sdh tercoblos, sblm pencoblosan, itu sama sja bunuh diri, sbb di beberapa tmpt twrutama luar negri, surat suara sdh tercoblos, gambar 03.",klo jubir tkn bilang kecurangan surat suara yg sdh tercoblos sblm pencoblosan itu sama sja bunuh diri sbb di beberapa tmpt twrutama luar negri surat suara sdh tercoblos gambar
@yulidarmaklot4164,Setiap pemilu quick cout merupakan sampel uang produk proyek cuan.real count yg proses dari KPU.,setiap pemilu quick cout merupakan sampel uang produk proyek cuan real count yg proses dari kpu
@trisdjatiwahono667,"RAKYAT TIDAK BUTUH LEMBAGA SURVEY,",rakyat tidak butuh lembaga survey
@warmatarmat9822,alhamdulillah ya allah pilihan saya menang 02,alhamdulillah ya allah pilihan saya menang
@radenbhentar4946,"Udahlah Niss terima nasib aja kalok kalah,,kalok sakit kepala yaa minum panadol aja kok susahh😅😅😅",udahlah niss terima nasib aja kalok kalahkalok sakit kepala yaa minum panadol aja kok susahh
@sucimuliana3552,Biasa yg kalah banyak omongnya😅😅😅😅😅,biasa yg kalah banyak omongnya
@arulhuda1304,01. 03.saya yakin gak tidur nyenyak. Salam dari kandang banteng jateng,saya yakin gak tidur nyenyak salam dari kandang banteng jateng
@conniefrancies4529,Terimalah kekalahan dengan besar hati....jangan cari2 celah atau rekayasa,terimalah kekalahan dengan besar hati jangan cari2 celah atau rekayasa
@ZaenalArifin-ef7qx,Siapapun yg jadi presiden th 24..semoga menjadi presiden yg terbaik.,siapapun yg jadi presiden th semoga menjadi presiden yg terbaik
@anacenel8976,ok gaaaaaaaaaaaas,ok gaaaaaaaaaaaas
@ahamadaljupri5288,amin menangisss😁😁😁😁,amin menangisss
@endibky9550,"Mana yg sering menghujat prabowo,yg sering fitnah prabowo...Alhamdulillah 02 nenang💪👍🤲",mana yg sering menghujat prabowoyg sering fitnah prabowo alhamdulillah nenang
@arisgibol8421,Siap2 jadi badut yg kalah dan strock 😂😂😂,siap2 jadi badut yg kalah dan strock
@bgar8650,Alhamdulillah. Bismillah sah Presiden🤘🤲,alhamdulillah bismillah sah presiden
@YanaHendrayana-vk6jw,Ribuan mahasiswa yang  demo cums seupil dari pendukungjokowi prabowo yang jutaan jumlahnya,ribuan mahasiswa yang demo cums seupil dari pendukungjokowi prabowo yang jutaan jumlahnya
@bungasurga2934,"Klu pemilu di selengarakan dgn JURDIL 01 PASTI PEMENANGNYA,krn GK RAKYAT SATU PUN TATA NEGARA RUSAK koruptor merajalela SERTA KEBUTUHAN HARGANYA MARKET, LA KLU 02 YG MENANG SEMUA TDK AKN berubah justru MALAH AKAN DI lanjutkan HAL YG seperti INI,TP KLU 01 YG MENANG GAGASANYA PERUBAHAN,DIA AKN merubah SISTEM YG menyengsarakan RAKYAT",klu pemilu di selengarakan dgn jurdil pasti pemenangnyakrn gk rakyat satu pun tata negara rusak koruptor merajalela serta kebutuhan harganya market la klu yg menang semua tdk akn berubah justru malah akan di lanjutkan hal yg seperti initp klu yg menang gagasanya perubahandia akn merubah sistem yg menyengsarakan rakyat
@user-ww9pm4mn9c,01 03 ..btul2 sirik ..nyata sirik ..nyta2 rkyat milih 02 msih gk trima lucu ya,btul2 sirik nyata sirik nyta2 rkyat milih msih gk trima lucu ya
@user-zk6dt7dh1y,Selamat mencari alasan untuk yg kalah,selamat mencari alasan untuk yg kalah
@PapiTegarSatrioGemilang,Kalau kalah berbesar hati saja mengucapkan selamat bagi yang menang. Masyarakat tuh muak nonton keributan keributan yang dibuat-buat. Kalau jadi pemimpin jiwa kesatria silahkan ditanamkan dalam hati. Kalau mengajar kebencian pastinya masyarakat luas tidak respek lagi.,kalau kalah berbesar hati saja mengucapkan selamat bagi yang menang masyarakat tuh muak nonton keributan keributan yang dibuatbuat kalau jadi pemimpin jiwa kesatria silahkan ditanamkan dalam hati kalau mengajar kebencian pastinya masyarakat luas tidak respek lagi
@agungfastiono6215,ingat jumlah TPS 823.220 BUKAN 2000 TPS sampling quick count lembaga survey ... coba cek itu dana lembaga survey.,ingat jumlah tps bukan tps sampling quick count lembaga survey coba cek itu dana lembaga survey
@user-df9hj3ki5v,❤❤ 02 tetap Cendana,tetap cendana
@BmboeRuncing,Begitu rapih angka nya,begitu rapih angka nya
@ekoedifa8999,Jawa timur mutlak tiap tps nomer 2,jawa timur mutlak tiap tps nomer
@purnomo7428,Yg lebih penting harus perubahan  lebih baik ..,yg lebih penting harus perubahan lebih baik
@EponLutfi,Jawa barat nih boss.. kandangnya 02,jawa barat nih boss kandangnya
@mohamadirsyad6108,Hasil quick count jng dipercaya,hasil quick count jng dipercaya
@abdulfatih4785,Hancur sudah nkri. Negara dipimpin oleh fir&#39;un dan qarun.,hancur sudah nkri negara dipimpin oleh firun dan qarun
@user-er3bl7gb4j,Pa Prabowo Gibran presiden dan wakil presiden yg sungguh luar biasa sangat sangat sangat Ok punya mantap mantaappppp. Allah SWT Sayang beliau berdua. Ok punya mantap lanjut terusss,pa prabowo gibran presiden dan wakil presiden yg sungguh luar biasa sangat sangat sangat ok punya mantap mantaappppp allah swt sayang beliau berdua ok punya mantap lanjut terusss
@wawanpj4352,Rakyat yg mana? Ini gaung opini... yg jelas rakyat trbanyak milih prabowo...<br><br>Didesa saya aman2 saja normal2 saja. Saya tanya teman2 dilintas daerah normal...,rakyat yg mana ini gaung opini yg jelas rakyat trbanyak milih prabowo didesa saya aman2 saja normal2 saja saya tanya teman2 dilintas daerah normal
@novriagung5151,Etik etik trus. Klau menang ya mnang,etik etik trus klau menang ya mnang
@neov5723,"Katanya rakyat sdh pinter tp msh aja ga mau terima,  bikin tambah muak aja sama 01 dan 03",katanya rakyat sdh pinter tp msh aja ga mau terima bikin tambah muak aja sama dan
@novalnawawi7726,Alhamdulillah...selamat Pak Prabowo dan Mas Gibran 👍✌️✌️✌️🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩,alhamdulillah selamat pak prabowo dan mas gibran
@user-ww9pm4mn9c,Sampai detik ini msih omong jelek ttg 02 ya alloh .knpa ya sbgtunya ☺️😄✌️✌️✌️✌️,sampai detik ini msih omong jelek ttg ya alloh knpa ya sbgtunya
@xiaomi4339,"Kala ya kala, akui aja kala jgn banyak bilang curanglah inilah mcm2 lah. Akui aj kala kelar gtu aj repot",kala ya kala akui aja kala jgn banyak bilang curanglah inilah mcm2 lah akui aj kala kelar gtu aj repot
@sujanasolo3686,"SELAMAT KEPADA PDI-P Yg banyak membuat blunder serta menjelek&quot;an pak Jokowi akhirnya nyungsep, bahkan sementara tertinggal oleh paslon 1&amp;2. Selamat ya dengan kesombonganmu.",selamat kepada pdip yg banyak membuat blunder serta menjelekan pak jokowi akhirnya nyungsep bahkan sementara tertinggal oleh paslon selamat ya dengan kesombonganmu
@user-vd7kd4yh4h,"Wong kalah mencari celah, bukan jiwa petarung",wong kalah mencari celah bukan jiwa petarung
@hamsidihamsidi7474,"Suara rakyat mungkin bisa di sebut suara tuhan....<br>Kita wajib menghormati pilihan rakyat, suka tidak suka bukti nya mayoritas rakyat sdh memilih....",suara rakyat mungkin bisa di sebut suara tuhan kita wajib menghormati pilihan rakyat suka tidak suka bukti nya mayoritas rakyat sdh memilih
@user-nv2ql6un3t,Setiap perbuatan manusia walau setitik zarah pasti ada balasanNYA😂😂😂,setiap perbuatan manusia walau setitik zarah pasti ada balasannya
@nurdin255,Kmi di managawal pemungutan suara dg damai alhasil memang prabowo memang unggul,kmi di managawal pemungutan suara dg damai alhasil memang prabowo memang unggul
@user-tr5yc3gc5x,"Jauh sekali perbandingan suara parpol dan pilpres boss,,kayak ngk masuk akal🤔🤔",jauh sekali perbandingan suara parpol dan pilpres bosskayak ngk masuk akal
@hendygande5939,"Makanya mikir dulu kalo nyalonin, kemarin&quot; rakyat milih jokowi bukan karna parataimu, lah sekarang baru ngertikan!! <br><br>Ganjar itu tau apa 😂😂",makanya mikir dulu kalo nyalonin kemarin rakyat milih jokowi bukan karna parataimu lah sekarang baru ngertikan ganjar itu tau apa
@michaelhoetabarat4140,"Hehehe, ngapain juga bangga klo kalah",hehehe ngapain juga bangga klo kalah
@alfredositohang6431,"Heran deh melihat kita Indonesia ini,Surya Candra jentel lh menerima kekalahan,jngn slalu membuat opini",heran deh melihat kita indonesia inisurya candra jentel lh menerima kekalahanjngn slalu membuat opini
@JohardiBjm,"Dua kali saya dukung Pak Prabowo 2014 - 2019 selalu kalah,tapi beliau tetap legowo,dan akhirnya 2024 ini bisa memperoleh suara terbanyak.<br>Moga dari hasil Quick Qount ini tdk berbeda jauh dengan rekapitulasi KPU.",dua kali saya dukung pak prabowo selalu kalahtapi beliau tetap legowodan akhirnya ini bisa memperoleh suara terbanyak moga dari hasil quick qount ini tdk berbeda jauh dengan rekapitulasi kpu
@user-ww9pm4mn9c,Udah lh ..akui aja jgn umong abc ini rakyat yg pilih kok ..02 mmg unggul,udah lh akui aja jgn umong abc ini rakyat yg pilih kok mmg unggul
@je3TStaRRxX,harus balas dendam ke temen gak sih kalo gini..?<br>kemaren saya di hina katanya saya kayak samsul..<br>&amp; lain&quot; pokoknya.<br>gara&quot; saya dukung 02.<br>kasih saran Bro..🙏🙏🙏🙏,harus balas dendam ke temen gak sih kalo gini kemaren saya di hina katanya saya kayak samsul lain pokoknya gara saya dukung kasih saran bro
@handisaputrabuana1238,02 tetap semangat proses persiden RI pak Prabowo Subianto ❤❤,tetap semangat proses persiden ri pak prabowo subianto
@PANJALLU,"indonesia ini jelas takut di pimpin pak ganjar mahfud karena brantas korupsi  misi utama nya , bukti indonesia banyak yg korupsi ...",indonesia ini jelas takut di pimpin pak ganjar mahfud karena brantas korupsi misi utama nya bukti indonesia banyak yg korupsi
@bhirowopro1052,"Para elit dan relawan 01dan 03,tidak tau bahwa rakyat  punya pilihan sendiri,dan terbukti bahwa didaerah rakyat memang sangat ingin p Prabowo yg jdi presiden dan gibran wakilnya,",para elit dan relawan 01dan tidak tau bahwa rakyat punya pilihan sendiridan terbukti bahwa didaerah rakyat memang sangat ingin p prabowo yg jdi presiden dan gibran wakilnya
@starmaker5359,"GELAGAT SURAT SUARA ADA 3 CARA : 1.DI BUKA KERTAS,,2.DI COBLOS,,3. DI LIPAT..",gelagat surat suara ada cara di buka kertas di coblos di lipat
@user-gv3gy6op4l,Yes 02menang ❤❤❤❤,yes 02menang
@Kimimmochi,Aduuhh boossssss... Mulutnya kompor yaa?.. Jngn buat mulut kotor kita keluar... Udahlah. Jangan menjadi kompor bossssss. Bahaya,aduuhh boossssss mulutnya kompor yaa jngn buat mulut kotor kita keluar udahlah jangan menjadi kompor bossssss bahaya
@OppoA71-tn6gr,Siapa pun yg jadi persidsen semoga sehat selalu amin,siapa pun yg jadi persidsen semoga sehat selalu amin
@alanmaslan5728,Mas kalau sudAh kalah ya kalah jgan  sekarang orang sudah cerdas semua yg penting 02 gemoy 🇮🇩🇮🇩,mas kalau sudah kalah ya kalah jgan sekarang orang sudah cerdas semua yg penting gemoy
@user-er3bl7gb4j,"Hidup pa Prabowo Subianto presiden Indonesia,, hidup mas Gibran wakil presiden Indonesia.Ok punya mantap lanjut terusss",hidup pa prabowo subianto presiden indonesia hidup mas gibran wakil presiden indonesia ok punya mantap lanjut terusss
@user-pr7si5vo9v,Yg ketar ketir sibuk klarifikasi,yg ketar ketir sibuk klarifikasi
@sunwukong9516,Yang dimaksud di taiwan po?,yang dimaksud di taiwan po
@VivoY-xv5uu,Demokrasi demokrasi tapi dilanggar terus sama jkwi.,demokrasi demokrasi tapi dilanggar terus sama jkwi
@susudancow3065,kalo kalah tu gak usah banyak bacot dan tuduhan 01.,kalo kalah tu gak usah banyak bacot dan tuduhan
@petualangjelajahalam,"SUARA RAKYAT SUARA TUHAN, IKHTIAR MILIK CAPRES DAN TEAM SUKSES TAQDIR MILIK ALLAH SWT !!! SIAPAPUN YANG MENANG ADALAH KEMENANGAN RAKYAT INDONESIA",suara rakyat suara tuhan ikhtiar milik capres dan team sukses taqdir milik allah swt siapapun yang menang adalah kemenangan rakyat indonesia
@ilhamsujarwo5201,Klo bicara hasil pemilu dari dulu kok ada aja &quot;WEDUS IRENG&quot;  dlm menyikapi kekalahan sdh lah legowo saja rakyat memang objektif,klo bicara hasil pemilu dari dulu kok ada aja wedus ireng dlm menyikapi kekalahan sdh lah legowo saja rakyat memang objektif
@gofitkhafit7366,Prabowo Subianto,prabowo subianto
@VivoY-xv5uu,KLO dari pertama curang maka selanjutnya akan diikuti dgn curang juga..,klo dari pertama curang maka selanjutnya akan diikuti dgn curang juga
@AdeHidayat-jh3ss,Makanya jaga kesombong jangan  jaga sikap syh pengagum sukarno dari jaman orde baru kali ini kecewa sm PDI perjuangan sm partai kecil harus welkam sepeti SPI pertama delarasi kan ganjar harus nya banga patai apa itu msih ingusan sm kepala desa kateng deklarasi p ganjar apa itu malah d tolak di serang ahir nya d jauhi partei sombong,makanya jaga kesombong jangan jaga sikap syh pengagum sukarno dari jaman orde baru kali ini kecewa sm pdi perjuangan sm partai kecil harus welkam sepeti spi pertama delarasi kan ganjar harus nya banga patai apa itu msih ingusan sm kepala desa kateng deklarasi p ganjar apa itu malah d tolak di serang ahir nya d jauhi partei sombong
@ruditommykalangie4122,03 Juga legowolah... nda usah cari2 kesalahan 02... <br>Rakyat Indonesia telah menentukan Pilihan hatinya..<br>Era 2014 dan 2019 beda dgn 2024 Bro.. hari ini semua Lembaga Survey memenangkan 02.. Ingat itu Bro..,juga legowolah nda usah cari2 kesalahan rakyat indonesia telah menentukan pilihan hatinya era dan beda dgn bro hari ini semua lembaga survey memenangkan ingat itu bro
@zulkarnain3092,Cawe cawe,cawe cawe
@robifuadimustofa7613,🤣<br><br>Tenang aja bro. Penghitungan belom selesai dan masih jauh. <br><br>Insya ALLAH pasangan <b>”AMIN”</b> yang akan ALLAH takdirkan untuk menjadi Presiden&amp;Wakil Presiden 2024-2029. <br>Aamiin… yaa… Robbal ‘aalamiin…🤲🏻,tenang aja bro penghitungan belom selesai dan masih jauh insya allah pasangan amin yang akan allah takdirkan untuk menjadi presidenwakil presiden aamiin yaa robbal aalamiin
@OrangJawaBarat,"saya pendukung 01, selamat untuk pa prabowo atas kemenangan hasil quick count ... saatnya prabowo berkuasa, pemegang penuh kebijakan, semoga sehat selalu, panjang umur, aamiin, # sambil menunggu hasil resmi",saya pendukung selamat untuk pa prabowo atas kemenangan hasil quick count saatnya prabowo berkuasa pemegang penuh kebijakan semoga sehat selalu panjang umur aamiin sambil menunggu hasil resmi
@nurkhozin7781,Slamat untuk pslon 01 03  serta pengikutnya sekarang kalian bebas jika mau menggigit jari yg baik dn yg benar,slamat untuk pslon serta pengikutnya sekarang kalian bebas jika mau menggigit jari yg baik dn yg benar
@Arul.VR99,Gmn mau adem. Timses yg kalah aja jd kompor..,gmn mau adem timses yg kalah aja jd kompor
@zulkarnain3092,Kok jauh sekali bedanya 02di bandingkan 01 dan 03 pasti ada permainan,kok jauh sekali bedanya 02di bandingkan dan pasti ada permainan
@SetiantoAnto,"Tiap TPS di kampung saya unggul 02, untuk 01,03, terima aja kenyataan nya",tiap tps di kampung saya unggul untuk terima aja kenyataan nya
@suryakusuma2758,Masih sementara uy,masih sementara uy
@vianmaringka5126,"Sekali putaran, 02 Presiden RI.<br>Rakyat Indonesia tidak butuh kalian para Antek PKI dan Antek Asing!!!<br>Jangan kalian teriak pelanggaran konstitusi, teriak demokrasi, teriak etik, teriak kecurangan kalo kalian memang belum siap untuk jatuh dalam lubang yang dalam!!!<br>Wahai para Antek PKI dan Antek Asing berkacalah terlebih dahulu sebelum kalian berteriak-teriak!!!<br>Rakyat Indonesia sekarang sudah banyak yang paham dan sadar karena ulah kalian sendiri, kami Rakyat Indonesia sudah tidak percaya dengan kalian para Antek PKI dan Antek Asing!!!<br>JASMERAH.. MERDEKA..",sekali putaran presiden ri rakyat indonesia tidak butuh kalian para antek pki dan antek asingjangan kalian teriak pelanggaran konstitusi teriak demokrasi teriak etik teriak kecurangan kalo kalian memang belum siap untuk jatuh dalam lubang yang dalamwahai para antek pki dan antek asing berkacalah terlebih dahulu sebelum kalian berteriakteriakrakyat indonesia sekarang sudah banyak yang paham dan sadar karena ulah kalian sendiri kami rakyat indonesia sudah tidak percaya dengan kalian para antek pki dan antek asingjasmerah merdeka
@skid56,Masya Allah Alhamdulillah 02 menang,masya allah alhamdulillah menang
@user-ix7eh8wf7s,Gama saya slalu mendoakan semoga nilai bertambah.,gama saya slalu mendoakan semoga nilai bertambah
@MuhammadMuhammad-gd8qc,"Kekmana kemenangan hitungan aj belum siab,aneh jugak ya",kekmana kemenangan hitungan aj belum siabaneh jugak ya
@user-gj7id7ke7b,PDIP ditinggal p.jokowi kalah telak.,pdip ditinggal p jokowi kalah telak
@farisrahmadhan6210,Kalimantan 02,kalimantan
@tjonglioeng6693,"Dari siang suara nganjar 16,39%? Hebat biar anis 30% ngak bisa 2putaran? Jadi 02 menang 1putaran😅😅😅",dari siang suara nganjar hebat biar anis ngak bisa 2putaran jadi menang 1putaran
@indrasubiyakto5719,01 udah kalah kok masih jelekan lawan aja,udah kalah kok masih jelekan lawan aja
@SamSam-wl9bb,"01 ngeyel, itu namanya perubahan, kemarin semangat sekarang lesu",ngeyel itu namanya perubahan kemarin semangat sekarang lesu
@acs1018,Juru bicara TKN 01 suka2 kamu bicara lah. Kami ga keberatan anda peroleh sementara 25% sdh tinggi loh. Jd mau nya brp bang?,juru bicara tkn suka2 kamu bicara lah kami ga keberatan anda peroleh sementara sdh tinggi loh jd mau nya brp bang
@ruditommykalangie4122,"01 Legowolah trima kekalahan..<br>Nda usah asal nuduh, ngaca dululah Capres Anies telah merendahkan Prabowo dgn nilai 11 dari 100... itu KESOMBONGAN bro...<br>Org sombong pasti direndahkan ALLAH...",legowolah trima kekalahan nda usah asal nuduh ngaca dululah capres anies telah merendahkan prabowo dgn nilai dari itu kesombongan bro org sombong pasti direndahkan allah
@aguswikanto1136,Jadikan indinesia bermartabat,jadikan indinesia bermartabat
@kocingmeme,Prabowo Gibran,prabowo gibran
@triwid9869,"Waseeek 02 menang,mkn gratis!sampe lupa yg menang monster/malaikat,sng pnting madhang",waseeek menangmkn gratissampe lupa yg menang monstermalaikatsng pnting madhang
@user-jg4pk3ry5c,😂😅😅😅😅😅😅 lho lho lho gk bahayatha,lho lho lho gk bahayatha
@user-ss4ri7kd6d,02 HARGA MATI TETAP DIUDARA,harga mati tetap diudara
@medinar.a7531,Semoga yg tidak jadi tidak banyak hutang 😂😂🤣🤣🤣 all in Prabowo ❤️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️,semoga yg tidak jadi tidak banyak hutang all in prabowo
@stepnitasfaresty4473,Ini pesta demokrasi dan rakyat sdh menentukan pilihan. Berharap semua pihak memghargai pilihan rakyat. Stop kata2 yg memecah belah. Saatnya bersatu dan bekerja kembali,ini pesta demokrasi dan rakyat sdh menentukan pilihan berharap semua pihak memghargai pilihan rakyat stop kata2 yg memecah belah saatnya bersatu dan bekerja kembali
@sitiaminahiskhak74,Curang Gimana..<br>Penghitunhan Trasparan Disaksikan Dari Wakil2 Paslon..<br>Pokok e✌❤,curang gimana penghitunhan trasparan disaksikan dari wakil2 paslon pokok e
@WulanCahyo-vw6sl,Kayaknya pendukung 01&amp;03 sudah mulai bangun dari tidur..sehingga mimpi mimpi mereka hanyalah sebuah mimpi yg jauh dari kenyataan..dan Alhamdulillah pilihan kita versi kuic coun 02 pemenangnya..salam ✌️.,kayaknya pendukung sudah mulai bangun dari tidur sehingga mimpi mimpi mereka hanyalah sebuah mimpi yg jauh dari kenyataan dan alhamdulillah pilihan kita versi kuic coun pemenangnya salam
@siputtua3786,Sebelum memilih para peserta pemilu  terlebih dahulu membuka lembaran kertasnya dan mengecek  lalu bawa kebilik tempat memilih sesuai selera masing-masing. 👍👍,sebelum memilih para peserta pemilu terlebih dahulu membuka lembaran kertasnya dan mengecek lalu bawa kebilik tempat memilih sesuai selera masingmasing
@hamirdattabulu4615,Ternyata dua Paslon 01 03 blm terima di gabung suara kalian gk bs kalahkan Paslon 02 sorry yeeee,ternyata dua paslon blm terima di gabung suara kalian gk bs kalahkan paslon sorry yeeee
@VivoVivo-jd2vj,"Menit <a href=""https://www.youtube.com/watch?v=Ua21uPr1eRc&amp;t=4210"">1:10:10</a>...itungan lo aja ngacok ...gagap pula...<br>QQ kok dipercaya",menit itungan lo aja ngacok gagap pula qq kok dipercaya
@nofrizawir8783,"Lembaga survei bayaran tentulah manang 02, kecurangan di lapangan banyak dilakukan 02",lembaga survei bayaran tentulah manang kecurangan di lapangan banyak dilakukan
@Ranggasaputra-hn9qj,"Mahasiswa, hudayawan yg bergerak itu juga bagian dari kampanye politik...<br>Kalau mau bergerak murni tanpa di tunggangi politik seharusnya sejak di putuskanya mk,, apakah jika gibran jadi wakilnya Anis/Ganjar akan ada demo....<br>Rakyat sudah cerdas bos ,,, omonganmu itu sudah basi di ketawain aktifis senior 98",mahasiswa hudayawan yg bergerak itu juga bagian dari kampanye politik kalau mau bergerak murni tanpa di tunggangi politik seharusnya sejak di putuskanya mk apakah jika gibran jadi wakilnya anisganjar akan ada demo rakyat sudah cerdas bos omonganmu itu sudah basi di ketawain aktifis senior
@wisangenipletot2609,Prabowo Gibran. Menang aminnn...,prabowo gibran menang aminnn
@nivabreezeetheiconic1257,"no 1&amp;3 sorry yeeeeee,yg kebanyakan curang itu 01 03,di malaysia aja belm coblos udah duluan 03 dicoblos,karma x yeee🤓",no sorry yeeeeeeyg kebanyakan curang itu di malaysia aja belm coblos udah duluan dicobloskarma x yeee
@MariYono-yl4li,01 <br><br>03<br><br>Kok masih gak mau menerima kekalahan kayak nya 🙏🙏🙏<br><br>Kalo takut kalah ya jangan jadi peserta kontestasi bos ... <br><br>Ora usah ngeyel ...<br>01...03 ...,03kok masih gak mau menerima kekalahan kayak nya kalo takut kalah ya jangan jadi peserta kontestasi bos ora usah ngeyel
@FatahillahKhusnan-jt9so,TAK MASUK  DI AKAL  B R O W,tak masuk di akal b r o w
@imungkosem2994,"03 gk bersyukur,sdh menang pileg ya terima saja",gk bersyukursdh menang pileg ya terima saja
@WATUPADHAS,"Nunggu kosong 01 dan 03 berkoalisi,,,, omon omon soryyy yeeeeee✌️✌️✌️✌️✌️✌️",nunggu kosong dan berkoalisi omon omon soryyy yeeeeee
@adjienomoto2028,Takut om pendukung arab abut ?,takut om pendukung arab abut
@SuwandiJombang-qx5ov,Rasa nya ingin tertawa dah gak terima kekalahan ditps itu dah saksi jangan bodohi kami kami orang kecil sudah tau orang orang seperti km,rasa nya ingin tertawa dah gak terima kekalahan ditps itu dah saksi jangan bodohi kami kami orang kecil sudah tau orang orang seperti km
@sitisaudah1997,"Yg jlas dengki tersrat dlam dua kubu ni sll menyerang 02,nyatane sll hmpir sama sleganya hdeh stoplh memojokan",yg jlas dengki tersrat dlam dua kubu ni sll menyerang nyatane sll hmpir sama sleganya hdeh stoplh memojokan
@HallemahAmil,Itu tandanya rakyat lebih percaya sama pak Prabowo Gibran dr pada no 01 dan 03,itu tandanya rakyat lebih percaya sama pak prabowo gibran dr pada no dan
